,id,Agent Name,Leader 1,Leader Name,Month Start Date,Location,Calls Answered,Calls Not Answered,Not Answered Rate,Met Not Answered Rate,Not Answered Percent < 5,Calls Offered,Total Duration,Agent Avg Duration,Transfers,Sentiment,Sentiment Score >= 0,Met Sentiment Goal
0,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-01,Margaree,443,2,0.0044943820224719105,True,5,445,7565,,,-53,0,False
1,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-01,Margaree,590,16,0.026402640264026403,True,5,606,4848,6523.333333333333,,97,0,True
2,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-01,Margaree,338,75,0.18159806295399517,True,5,413,2478,6042.583333333333,,23,0,True
3,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-01,Margaree,748,12,0.015789473684210527,True,5,760,6080,7598.666666666667,,21,0,True
4,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-01,Margaree,464,22,0.04526748971193416,True,5,486,1458,7383.083333333333,23.0,-33,0,False
5,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-01,Margaree,590,2,0.0033783783783783786,True,5,592,2368,8389.083333333334,9.0,95,0,True
6,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-01,Margaree,425,29,0.06387665198237885,True,5,454,4540,8179.583333333333,23.0,63,0,True
7,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-01,Margaree,696,24,0.03333333333333333,True,5,720,7920,7856.833333333333,3.0,-27,0,False
8,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-01,Margaree,407,52,0.11328976034858387,True,5,459,8262,11246.666666666666,19.0,-87,0,False
9,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-01,Margaree,826,43,0.04948216340621404,True,5,869,17380,6860.166666666667,27.0,58,0,True
10,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-01,Margaree,421,75,0.15120967741935484,True,5,496,10416,6202.5,21.0,47,0,True
11,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-01,Margaree,796,53,0.0624263839811543,True,5,849,15282,9010.916666666666,23.0,80,0,True
12,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-02,Margaree,443,2,0.0044943820224719105,True,5,445,7565,9380.166666666666,,-53,0,False
13,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-02,Margaree,590,16,0.026402640264026403,True,5,606,4848,7602.583333333333,,97,0,True
14,4,"Garnam, Fleur",1,"Howroyd, Kylie",2021-01-02,Margaree,338,75,0.18159806295399517,True,5,413,2478,8101.416666666667,,23,0,True
